screenName,statuses,friends,followers,tweet,rcount,fcount
BUMPOFCHICKEN_s,9091,849,83556,https://twitter.com/BUMPOFCHICKEN_s/status/542270687012859904,12,24
bunkanews,3341,48,668,https://twitter.com/bunkanews/status/542229496020336641,1,0
businessinsider,180629,122,782856,https://twitter.com/businessinsider/status/542174299642404864,29,15
butaou,156962,896,1883,https://twitter.com/butaou/status/542240241558360065,6,1
camloeba,38016,288,1313,https://twitter.com/camloeba/status/542351064461103104,9,3
CapitalFC,3764,415,418,https://twitter.com/CapitalFC/status/542518605577871360,27,2
CAPSULEOFFICIAL,139,13,11089,https://twitter.com/CAPSULEOFFICIAL/status/542190566637711360,19,5
caracalnyanko,4604,3649,4216,https://twitter.com/caracalnyanko/status/541861817601912832,14622,13429
carmen_i,30537,465,819,https://twitter.com/carmen_i/status/541887321142874113,47,34
chi9wa,44503,407,1680,https://twitter.com/chi9wa/status/542246318047891456,4,0
chibanippo,26927,3241,6427,https://twitter.com/chibanippo/status/542494041602916355,9,3
ChineMikuKaeuta,7026,351,6530,https://twitter.com/ChineMikuKaeuta/status/541552019408830465,10029,8613
ChiNosuke0412,28995,471,343,https://twitter.com/ChiNosuke0412/status/542333706824724480,441,313
chione70,44911,708,987,https://twitter.com/chione70/status/542505130273173504,5,2
cookie_ani_7,103601,1190,1511,https://twitter.com/cookie_ani_7/status/542272855514165249,2,1
cyoki,33431,1907,2375,https://twitter.com/cyoki/status/541187007154634752,45,11
daimatz,28926,566,639,https://twitter.com/daimatz/status/541997863400513536,12,11
DB_Bahn,148520,10,40940,https://twitter.com/DB_Bahn/status/538437205761720321,6,7
deris0126,10794,317,345,https://twitter.com/deris0126/status/542237245202509824,2,3
dobinnmushi40,1835,348,458,https://twitter.com/dobinnmushi40/status/542189867484991488,1,0
ebitiri_rie,112300,480,600,https://twitter.com/ebitiri_rie/status/542250308361940993,4,2
efmania,32489,1962,5589,https://twitter.com/efmania/status/541953603737362433,53,37
empress_penguin,69273,2618,2921,https://twitter.com/empress_penguin/status/541895046614634496,5592,3031
ff14_antna,48638,747,533,https://twitter.com/ff14_antna/status/542188505053396992,3,0
FlashNewsJP,648917,6753,18941,https://twitter.com/FlashNewsJP/status/542266679305064449,12,3
footy_ken,27962,562,9238,https://twitter.com/footy_ken/status/541418490662383616,13111,14200
foxnumber6,322274,1225,4738,https://twitter.com/foxnumber6/status/541882009891532801,687,703
fu_jin4351,420,690,664,https://twitter.com/fu_jin4351/status/542155144633147393,10,0
geckyokawa,21815,121,1234,https://twitter.com/geckyokawa/status/542265868369928192,1,0
gekkanbushi,790,59,6833,https://twitter.com/gekkanbushi/status/542139217166348288,35,23
Geroko,181527,5695,5450,https://twitter.com/Geroko/status/542239384527847424,4,0
ginzashoecare,6944,3821,3806,https://twitter.com/ginzashoecare/status/542214739695108096,6,1
gouranga_,1418,77,3579,https://twitter.com/gouranga_/status/542168898863255552,539,306
Go_buta,27825,347,320,https://twitter.com/Go_buta/status/518920934124560384,141,41
Grabacr07,157554,1284,6914,https://twitter.com/Grabacr07/status/542235930526900224,1,0
gucchiaa,3989,106,527,https://twitter.com/gucchiaa/status/541199248499277824,8423,5686
GYARI_,20373,761,4132,https://twitter.com/GYARI_/status/479259454907494400,9788,5852
gyokyou1,4648,666,723,https://twitter.com/gyokyou1/status/542185264177618944,31,7
Haguro_CA,28286,723,4463,https://twitter.com/Haguro_CA/status/542210239852843008,1,0
hamusoku,18594,282891,295802,https://twitter.com/hamusoku/status/542174327399923712,134,44
hasegawayosuke,22082,601,5176,https://twitter.com/hasegawayosuke/status/542262443364188161,6,9
hashimoto_tokyo,54397,299,41977,https://twitter.com/hashimoto_tokyo/status/542287971634774017,7,6
hatebu,124524,5,93831,https://twitter.com/hatebu/status/541846176736083968,79,177
hayano,58718,309,126049,https://twitter.com/hayano/status/542264119642947584,55,18
heldiver,85200,299,258,https://twitter.com/heldiver/status/542271109005983744,1,1
HIGASHIMOtennis,1994,2444,2237,https://twitter.com/HIGASHIMOtennis/status/542210602672734208,4,2
hikibb,1,6,337,https://twitter.com/hikibb/status/542159079985000448,3413,11
honto_daiji,13638,0,79088,https://twitter.com/honto_daiji/status/542106273366306817,306,256
H_H,32714,759,1724,https://twitter.com/H_H/status/542237166827347969,18,21
ig_k,47403,2107,2128,https://twitter.com/ig_k/status/542211822707675136,4,1
ikasanma,28120,423,538,https://twitter.com/ikasanma/status/542258747972665345,7,3
ikebukuroshoe,2478,1995,1973,https://twitter.com/ikebukuroshoe/status/542220235395170304,1,0
illichi_273,89935,187,595,https://twitter.com/illichi_273/status/541886831072002048,5737,3408
inouekari,7042,4714,5509,https://twitter.com/inouekari/status/541510207432437760,508,269
internet_watch,15913,16,70680,https://twitter.com/internet_watch/status/542246060123357186,94,85
ir5,37688,362,1247,https://twitter.com/ir5/status/542290871555616769,6,5
ishimarujiro,9125,52,8419,https://twitter.com/ishimarujiro/status/541922479229251584,1416,364
itmedia_news,26329,12217,113188,https://twitter.com/itmedia_news/status/542218989074538498,147,26
jcjk_jiten,329,0,4004,https://twitter.com/jcjk_jiten/status/541721585279713280,890,643
jeonjung,62257,138,2301,https://twitter.com/jeonjung/status/542251833347956736,2,0
Jin115,202970,249558,347334,https://twitter.com/Jin115/status/541759102863409152,665,444
Jiraygyo,165351,11351,11686,https://twitter.com/Jiraygyo/status/541801194599895040,38,19
Jobanline_Ayase,40691,6838,7335,https://twitter.com/Jobanline_Ayase/status/541872306767671296,11,7
joker1007,50421,1635,2793,https://twitter.com/joker1007/status/542238758020476928,5,1
KafkaFura,11779,153,284,https://twitter.com/KafkaFura/status/541905279294504960,39,11
kai_morikawa,1454,233,8332,https://twitter.com/kai_morikawa/status/542170703894560768,296,123
kamekoopa,77281,584,788,https://twitter.com/kamekoopa/status/542118969235107841,41,15
kamia_15,32032,156,148,https://twitter.com/kamia_15/status/542282440950022144,1,9
KanameKawabata,2794,176,19529,https://twitter.com/KanameKawabata/status/542222239567847424,89,155
KanColle_STAFF,6419,25,754627,https://twitter.com/KanColle_STAFF/status/542116375343276032,7045,2198
kaz0124lol,11858,998,1021,https://twitter.com/kaz0124lol/status/542190763442855936,33,4
kazuho,41077,1220,6209,https://twitter.com/kazuho/status/542235507787173889,2,0
kei_tohgu,40228,646,724,https://twitter.com/kei_tohgu/status/541066326215647232,2,0
keninter,273109,44564,43717,https://twitter.com/keninter/status/542062487693045760,1,0
Keuzer,74589,1719,1738,https://twitter.com/Keuzer/status/542202789594529792,38,24
kiiko_chan,18159,317,5934,https://twitter.com/kiiko_chan/status/542241515544641536,15,3
kikaijikake,18352,398,1011,https://twitter.com/kikaijikake/status/540501146607951872,23505,41658
kiki_koikina,28951,502,1333,https://twitter.com/kiki_koikina/status/542290051573370881,2,0
killcy_,198859,1816,2414,https://twitter.com/killcy_/status/542191356274147328,115,71
KinositaKouta,61612,114,33781,https://twitter.com/KinositaKouta/status/542242498010034176,27,5
kir1ca,329847,1002,8173,https://twitter.com/kir1ca/status/542237737860882432,6,6
klmquasi,4764,193,234,https://twitter.com/klmquasi/status/542184349244727296,3,1
koikezlemma,686,254,204,https://twitter.com/koikezlemma/status/542193965793955840,1,0
koizuka,240964,1916,15121,https://twitter.com/koizuka/status/542237066956795904,4,1
kottyN928,90346,361,595,https://twitter.com/kottyN928/status/541767351109042176,2941,2137
kuronekopunk,154696,977,1182,https://twitter.com/kuronekopunk/status/542157373515644931,426,114
kusudaaina,10158,150,154780,https://twitter.com/kusudaaina/status/542218459166146560,97,194
kwave526,35192,440,2615,https://twitter.com/kwave526/status/541775796918951936,448,80
kyo_anzuya,12621,149,469,https://twitter.com/kyo_anzuya/status/541909626501873664,564,620
